X,Y,nome,tipo,xcoord,ycoord,video,icon_url
9.57340720976774,40.1475897556912,Carcatrippa,Nuraghe,548800.283775202115066,4443546.196063568815589,https://youtu.be/4CBDzibGWiA,./0.png
9.56741804882748,40.1246064253887,Umbragu,Nuraghe,548763.214411220280454,4440706.243962459266186,https://youtu.be/meQ6FnWNmLQ,./0.png
9.58437780665285,40.1257876028155,Mereu,Nuraghe,549092.905538490740582,4442330.131429378874600,https://youtu.be/W5VfuQCwKHw,./0.png
9.64005615804947,40.120102045185,Conillu,Nuraghe,555024.744394177105278,4440474.853114889003336,https://youtu.be/XS9JvI-DZuk,./0.png
9.65491585725198,40.1042423345781,Su Topi,Nuraghe,556411.791665677214041,4439437.149612613953650,,./0.png
9.66318134432565,40.0901297992995,S'Oru,Nuraghe,556763.801492032594979,4438391.333088310435414,https://youtu.be/Y36gZoDpNwg,./0.png
9.68188037841822,40.076512844062,Cabriolu,Nuraghe,558288.489677416859195,4436197.537163240835071,https://youtu.be/Wdyds52cmQU,./0.png
9.6739853849235,40.0339219924224,Forada,Nuraghe,557658.831193850608543,4430780.248514808714390,,./0.png
9.61717005315282,40.0574420635183,Conillu,Nuraghe,554099.759371720952913,4433288.312427360564470,https://youtu.be/zwaFI94MOgk,./0.png
9.58111973731499,40.0807789362967,Nuraghe Sciussciau,Nuraghe,547911.643097413703799,4437140.413613063283265,https://youtu.be/S9-NAPC3HAY,./0.png
9.63921420035386,40.0619586415354,is Meris,Nuraghe,555924.432286065770313,4432318.866119552403688,,./0.png
9.65491538049117,40.0878013407082,Muvara,Nuraghe,556304.738781218067743,4437570.818160119466484,https://youtu.be/E99kMuquKa4,./0.png
9.65554970235197,40.0987570475646,sa Sperruma,Nuraghe,556524.739740018383600,4438743.585180307738483,,./0.png
9.64837373525765,40.0435925126882,Coffu,Domus de Janas,555617.253004085505381,4432147.295862609520555,,./1.png
9.61058432555947,40.1016657810184,Espis,Domus de Janas,550797.656432542949915,4439048.800134641118348,,./1.png
